Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,Al,Al 2-Sigma,Ba,Ba 2-Sigma,Cl,Cl 2-Sigma,Mg,Mg 2-Sigma,P,P 2-Sigma,S,S 2-Sigma,Si,Si 2-Sigma,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
92,Mining,103.92,0.00,9.99,28.84,28.78,"Tue Feb 11, 2025 - 08:01:29",User,1,ppm,,,,,20250205,Mining,<LOD,1.4826,<LOD,4.2102,<LOD,6.9189,418499.1562 , 7612.5576,<LOD,2.9356,<LOD,2.1279,<LOD,124.5797,302.8289 , 6.5671,52.7142 , 6.8631,83236.9453 , 223.0470,<LOD,0.0000,<LOD,4.5675,2253.3306 , 68.7013,<LOD,2.9596,41.3175 , 1.3516,343.4682 , 16.6080,31.5750 , 2.3134,<LOD,1.1819,20.5207 , 1.7068,<LOD,0.0000,<LOD,4.0432,<LOD,1.5619,42.2872 , 2.4727,1213.2759 , 4.4358,<LOD,0.0000,12.6124 , 1.7240,10305.4834 , 47.2826,<LOD,7.0983,296.3055 , 12.9151,<LOD,14.7115,36.2898 , 1.2465,138.1624 , 6.4332,171.2824 , 3.1474,49033.8750 , 152.7898,18112.5195 , 109.3205,109750.9297 , 1437.6454,1882.7137 , 25.3538,<LOD,38.2338,51716.4570 , 2895.6614,5178.1660 , 147.4757,49.0361 , 22.3509,247278.7656 , 377.3436,,,,,,,,
93,Mining,111.42,14.15,29.43,29.66,29.31,"Wed Mar 5, 2025 - 17:08:35",User,1,ppm,,,,,,Mining,105.9198 , 60.9239,154.4208 , 26.3051,<LOD,25.0555,270127.8750 , 9250.3848,<LOD,18.9322,<LOD,4.3794,<LOD,175.0792,20.2324 , 6.7907,509285.0625 , 338.8656,62726.5078 , 212.6088,<LOD,0.0000,35.5257 , 10.9876,326.3947 , 38.1636,55.4969 , 3.6102,<LOD,3.8357,<LOD,47.2962,2093.7515 , 27.2990,6.8010 , 1.9116,<LOD,5.0990,<LOD,0.0000,<LOD,7.9146,<LOD,7.1546,45.3472 , 4.9656,49.9167 , 2.1830,<LOD,0.0000,<LOD,11.3154,361.0642 , 28.0594,30.5758 , 6.9342,279.9748 , 10.0308,<LOD,0.0000,<LOD,5.0628,<LOD,95.2634,<LOD,5.9226,16595.5371 , 121.5468,2040.0460 , 62.4865,32784.4219 , 679.1120,1104.6942 , 40.7457,402.9616 , 31.3691,<LOD,5734.5992,255.1448 , 73.3882,65983.7891 , 149.3699,35128.6641 , 180.7967,,,,,,,,
94,Mining,109.65,13.50,29.76,28.94,29.13,"Wed Mar 5, 2025 - 17:16:40",User,1,ppm,,,,,,Mining,19.1373 , 11.0059,<LOD,15.5765,<LOD,9.7293,520048.6875 , 4162.9878,<LOD,5.4396,<LOD,2.9644,<LOD,122.0399,48.8058 , 4.6817,256398.6406 , 201.7013,51126.0078 , 177.4978,<LOD,0.0000,<LOD,13.3652,102.9132 , 28.5871,<LOD,3.3119,<LOD,2.2063,<LOD,28.1632,253.5569 , 7.1408,<LOD,1.6719,15.5826 , 1.9767,<LOD,0.0000,<LOD,5.5332,<LOD,3.3678,14.0672 , 3.2321,21.1397 , 1.0456,<LOD,0.0000,<LOD,4.2000,469.0688 , 17.2076,8.7875 , 3.2186,243.5772 , 7.1231,117.2745 , 35.3555,4.9095 , 1.4098,<LOD,56.2428,25.5229 , 2.0360,2868.4058 , 47.3922,6330.2549 , 79.0060,27254.0918 , 497.0616,288.5392 , 103.0168,444.3108 , 31.3017,<LOD,3290.9692,474.6100 , 67.8761,8342.8271 , 56.1178,125079.2344 , 312.4639,,,,,,,,
95,Mining,134.56,18.14,47.37,29.52,29.33,"Sat Mar 8, 2025 - 14:56:35",User,1,ppm,,,,,,Mining,<LOD,1.2540,<LOD,1.5962,<LOD,2.5450,526572.6250 , 2806.5161,<LOD,1.3188,<LOD,1.6440,<LOD,61.5340,121.3436 , 3.6946,45.1688 , 3.4929,61075.5234 , 123.8785,<LOD,0.0000,<LOD,3.1022,1077.0151 , 29.4767,<LOD,1.1692,44.5817 , 0.7510,172.8716 , 7.3679,<LOD,1.1578,<LOD,0.8834,33.4675 , 0.9463,<LOD,0.0000,<LOD,3.0765,<LOD,0.7866,7.3394 , 1.7851,581.9680 , 1.7573,<LOD,0.0000,2.0050 , 0.7287,12186.2686 , 33.7013,<LOD,3.5820,231.1918 , 9.1599,<LOD,6.7753,19.9815 , 0.5928,71.8666 , 2.6394,155.6831 , 1.4906,59366.8711 , 117.2295,20386.0586 , 81.9158,112682.4062 , 763.6334,1223.1405 , 16.5895,97.4225 , 24.9255,38265.7969 , 1738.7833,2573.2041 , 94.3083,595.4836 , 21.4665,162410.7500 , 293.5351,,,,,,,,
96,Mining,172.82,29.36,18.32,29.16,29.90,"Sat Mar 8, 2025 - 15:01:46",User,1,ppm,,,,,,Mining,11.2172 , 1.1157,72.3849 , 7.5723,<LOD,8.9981,322407.9062 , 4956.8315,9.0549 , 3.0971,<LOD,2.1886,<LOD,175.8995,85.1997 , 6.3158,4078.7307 , 36.3339,352422.4375 , 313.8991,<LOD,0.0000,19.4950 , 5.0962,1219.1125 , 42.5832,179.5293 , 2.5148,9.6067 , 1.1344,296.4881 , 27.2819,603.2222 , 7.6247,<LOD,1.2499,34.5002 , 1.7706,<LOD,0.0000,51.4039 , 2.8294,<LOD,2.5141,119.4209 , 2.6454,414.0925 , 2.7451,<LOD,0.0000,<LOD,2.2078,2168.3484 , 29.0823,<LOD,5.5043,110.8285 , 8.1177,<LOD,33.5015,29.5950 , 1.4899,6199.1084 , 36.8972,100.7014 , 2.3203,12411.6758 , 85.3046,11292.9766 , 93.6976,97997.4453 , 840.5836,267.2919 , 19.1468,<LOD,39.8342,5417.4175 , 2342.4744,704.5286 , 64.5321,13597.0117 , 61.5375,167669.2656 , 296.0388,,,,,,,,
97,Mining,109.86,29.03,9.31,29.68,29.69,"Sat Mar 8, 2025 - 15:05:07",User,1,ppm,,,,,,Mining,<LOD,1.5460,<LOD,1.8872,<LOD,4.4994,442819.1250 , 5962.3159,<LOD,2.8901,<LOD,2.2073,<LOD,108.0720,107.1544 , 4.6602,65.7888 , 6.2509,62243.9414 , 173.5368,<LOD,0.0000,<LOD,4.2740,1151.8654 , 48.6142,<LOD,1.7203,50.8334 , 1.2519,162.9368 , 12.1419,4.9816 , 1.4215,<LOD,1.1991,36.3732 , 1.5597,<LOD,0.0000,<LOD,4.2710,<LOD,1.3507,49.6307 , 2.6020,600.1992 , 2.7807,<LOD,0.0000,<LOD,2.4060,8849.8799 , 39.4042,<LOD,4.6019,159.0284 , 10.9607,<LOD,21.4698,18.1762 , 0.9488,67.3999 , 4.2420,169.1051 , 2.4355,44664.4258 , 139.0014,18302.2852 , 108.0963,160471.6094 , 1407.5331,1318.2789 , 22.5716,<LOD,45.6591,69775.9844 , 2675.8469,2894.4604 , 118.5627,78.1305 , 25.7178,185938.3594 , 392.8023,,,,,,,,
98,Mining,104.53,9.64,29.35,29.38,29.86,"Sat Mar 8, 2025 - 15:12:46",User,1,ppm,,,,,,Mining,<LOD,1.2506,2.9352 , 1.1169,<LOD,4.3441,780176.6875 , 2987.0771,<LOD,2.3016,<LOD,1.6977,<LOD,105.5982,83.5164 , 3.5105,47.5938 , 6.1766,48443.5039 , 182.2950,<LOD,0.0000,6.3901 , 2.6477,835.3788 , 47.1161,<LOD,2.8055,39.0783 , 1.2060,132.7419 , 11.8405,<LOD,1.6508,<LOD,0.9069,28.0891 , 1.4272,<LOD,0.0000,<LOD,3.2884,<LOD,1.2791,5.8321 , 1.9160,491.3804 , 2.6294,<LOD,0.0000,<LOD,1.7734,6271.8779 , 27.1092,<LOD,3.5044,124.0069 , 7.5146,<LOD,10.7876,15.4129 , 0.9227,51.1577 , 4.2505,137.2352 , 2.2992,33120.7617 , 107.7946,12551.5342 , 77.1086,21809.1816 , 560.8477,359.1035 , 16.5048,<LOD,52.7615,<LOD,3329.9165,1198.0831 , 99.9141,<LOD,41.2880,93577.0547 , 304.6505,,,,,,,,
99,Mining,125.66,28.52,9.22,29.66,29.81,"Sat Mar 8, 2025 - 15:19:46",User,1,ppm,,,,,,Mining,20.2203 , 11.8922,85.5381 , 9.0208,12.3357 , 6.0557,571569.3750 , 2995.5300,25.5641 , 3.5759,<LOD,2.8275,<LOD,154.6374,65.1325 , 7.3653,40107.2305 , 97.5948,303865.4062 , 291.4405,<LOD,0.0000,15.9287 , 4.6090,889.0312 , 36.1048,188.2553 , 2.4375,4.6328 , 1.0659,686.5621 , 23.9350,1024.0283 , 9.2200,<LOD,1.8232,50.9108 , 1.8856,<LOD,0.0000,21.8321 , 9.1348,<LOD,2.5794,159.0702 , 3.5258,162.7841 , 1.6616,<LOD,0.0000,<LOD,2.7293,557.8850 , 29.8685,6.5559 , 2.4157,41.8914 , 7.7710,<LOD,29.7212,30.8114 , 1.5793,3273.9451 , 28.2008,82.6874 , 1.8310,2724.0647 , 58.0023,8386.8486 , 104.7186,6423.6641 , 283.6200,543.2614 , 193.9052,597.3638 , 25.0334,<LOD,3278.5074,<LOD,69.4712,39480.4297 , 98.5705,18896.7773 , 119.6953,,,,,,,,
100,Mining,295.36,59.16,26.81,58.86,89.00,"Sat Mar 8, 2025 - 15:26:20",User,1,ppm,,,,,,Mining,14.1008 , 0.9612,44.5937 , 5.8143,<LOD,6.2450,525327.7500 , 2883.3259,9.5071 , 2.2957,<LOD,1.8267,<LOD,125.2181,53.4726 , 5.7876,7126.7026 , 34.1385,307838.9688 , 198.9582,<LOD,0.0000,14.5259 , 3.5797,1578.0117 , 34.2980,344.3783 , 2.3944,9.1302 , 0.8990,402.1029 , 18.2088,710.2319 , 6.0311,<LOD,1.4700,56.5108 , 1.5622,<LOD,0.0000,43.0514 , 2.3766,<LOD,1.8683,196.2214 , 2.3804,308.0050 , 1.6603,<LOD,0.0000,<LOD,0.9989,1516.0354 , 26.5508,23.4189 , 2.3292,82.7216 , 7.0166,<LOD,22.1309,49.8224 , 1.2441,3616.9585 , 21.8947,138.7819 , 1.7154,8524.4170 , 70.0246,28651.4922 , 122.1283,5736.7935 , 276.1935,495.0137 , 16.8061,2877.7798 , 26.0014,<LOD,2811.4384,<LOD,63.2488,71657.6484 , 94.5209,32551.8926 , 105.7775,,,,,,,,
101,Mining,104.82,28.54,9.65,29.48,29.08,"Sat Mar 8, 2025 - 15:29:43",User,1,ppm,,,,,,Mining,12.9718 , 1.2616,284.7461 , 24.8292,<LOD,17.0608,374188.6875 , 4555.8828,<LOD,9.6454,<LOD,2.4960,<LOD,174.6491,46.5903 , 6.8942,922.5068 , 20.7428,147390.3281 , 301.5846,<LOD,0.0000,41.8270 , 9.4495,4932.4316 , 98.9388,134.9850 , 2.6126,5.5046 , 1.3201,88.8739 , 16.7627,5541.5215 , 25.7211,<LOD,1.4084,34.1591 , 2.2595,<LOD,0.0000,48.4082 , 3.2222,<LOD,4.9578,155.3324 , 3.1405,447.2856 , 3.1920,<LOD,0.0000,<LOD,9.4333,1479.8368 , 36.6922,<LOD,8.8096,61.6671 , 9.2561,<LOD,74.0394,44.7837 , 3.2514,28162.5078 , 88.9431,110.5869 , 2.8592,199080.1406 , 282.6389,6126.5000 , 77.1005,32780.9336 , 606.9519,1085.6166 , 25.1071,112.3781 , 25.1600,4242.0356 , 2242.6111,326.6643 , 61.8960,5678.0933 , 44.6533,186432.0938 , 321.1957,,,,,,,,
102,Mining,112.15,9.64,28.98,0.00,28.78,"Sat Mar 8, 2025 - 15:35:20",User,1,ppm,,,,,,Mining,<LOD,1.1554,<LOD,1.9753,<LOD,3.7717,459442.9688 , 3568.2478,<LOD,1.6388,<LOD,1.7234,<LOD,108.9466,91.1259 , 4.5366,46.3842 , 4.0910,63122.6367 , 156.5165,<LOD,0.0000,<LOD,2.6391,1070.3221 , 35.1320,<LOD,1.4345,45.0764 , 0.9223,103.3358 , 8.1481,7.8968 , 1.0834,<LOD,0.9305,27.2546 , 1.1600,<LOD,0.0000,<LOD,3.2086,<LOD,0.9451,25.7043 , 1.9103,827.4178 , 2.5250,<LOD,0.0000,<LOD,2.2994,7458.8975 , 37.8094,9.0302 , 2.1719,165.3439 , 10.5207,<LOD,8.2950,21.9689 , 0.7219,77.7901 , 3.2230,162.9342 , 1.9225,92826.0391 , 191.2388,13301.0566 , 90.0253,119260.3125 , 811.6967,1114.5651 , 16.9396,<LOD,32.5518,64430.3164 , 2048.6099,2170.7026 , 86.5582,5882.4395 , 42.0330,168308.4844 , 303.2285,,,,,,,,
103,Mining,128.04,18.09,40.33,29.49,29.62,"Sat Mar 8, 2025 - 15:39:15",User,1,ppm,,,,,,Mining,<LOD,1.1471,3.1077 , 0.8154,<LOD,2.5588,409086.0312 , 3743.9055,<LOD,1.4560,<LOD,1.6961,<LOD,69.7176,168.1518 , 4.3857,64.4032 , 4.0798,65143.2383 , 143.5577,<LOD,0.0000,<LOD,3.4198,1176.6145 , 33.4004,2.1757 , 0.7814,47.5869 , 0.8417,110.9471 , 7.5803,<LOD,1.2651,<LOD,0.9307,34.0603 , 1.0522,<LOD,0.0000,<LOD,3.2165,<LOD,0.8431,27.7934 , 1.9159,638.3522 , 2.0546,<LOD,0.0000,<LOD,1.6439,10694.8574 , 36.2343,<LOD,3.3482,226.0313 , 9.8339,<LOD,7.4686,21.1255 , 0.6633,79.5521 , 3.0197,178.3572 , 1.7399,62347.9453 , 135.7395,19507.2109 , 90.4827,159498.6094 , 963.0927,1356.3132 , 17.5010,934.5687 , 28.1243,62480.0742 , 1988.9152,2917.1042 , 99.6625,509.9735 , 21.2150,202745.8125 , 318.9256,,,,,,,,
104,Mining,111.39,29.06,9.43,29.63,29.68,"Sat Mar 8, 2025 - 15:44:01",User,1,ppm,,,,,,Mining,<LOD,1.4269,6.6595 , 1.0076,<LOD,3.3340,518306.0000 , 3245.5068,<LOD,2.6768,<LOD,1.6288,<LOD,86.3879,145.8704 , 5.6021,68.8185 , 4.9220,73415.6641 , 168.9701,<LOD,0.0000,4.5149 , 1.9438,1784.7778 , 45.1543,<LOD,1.3438,41.7871 , 0.9516,211.0269 , 10.3915,<LOD,1.4114,<LOD,0.8659,13.3741 , 1.0416,<LOD,0.0000,<LOD,3.0514,<LOD,0.9925,12.3471 , 1.7865,842.1595 , 2.7261,<LOD,0.0000,<LOD,1.5358,8625.6943 , 49.2338,<LOD,3.2891,193.9354 , 12.3869,<LOD,8.7466,20.9229 , 0.7445,78.6648 , 3.5049,163.7797 , 2.0916,52466.6992 , 148.9419,8874.9795 , 76.0887,118783.6094 , 777.0012,2280.2610 , 18.5163,<LOD,33.5394,47809.3398 , 1819.4528,2085.6865 , 85.7189,422.7968 , 19.6786,163340.6406 , 299.8287,,,,,,,,
105,Mining,108.33,38.46,0.00,28.92,29.51,"Sat Mar 8, 2025 - 15:47:37",User,1,ppm,,,,,,Mining,9.1511 , 1.5312,<LOD,19.1638,<LOD,14.3305,375631.9062 , 7618.4102,<LOD,9.2889,<LOD,2.9533,<LOD,220.1785,103.6567 , 9.2839,3178.7146 , 41.3900,274548.3125 , 324.3914,<LOD,0.0000,19.1949 , 7.6126,6326.3037 , 105.3537,25.1554 , 1.9995,6.9850 , 1.5024,235.6021 , 29.0633,1130.8040 , 13.3278,<LOD,1.7457,36.0434 , 2.3837,<LOD,0.0000,<LOD,9.4365,<LOD,3.8302,91.6494 , 3.5561,132.0965 , 1.9858,<LOD,0.0000,<LOD,3.3300,1892.8705 , 42.9846,20.5024 , 3.7598,117.0533 , 11.7342,<LOD,84.5368,52.0251 , 2.3427,7532.6323 , 54.5632,101.1462 , 2.5033,33219.0586 , 184.4399,10027.1836 , 123.1802,60055.9570 , 1226.6715,419.5441 , 27.4055,<LOD,39.0827,8898.7324 , 2972.2505,587.4243 , 73.3597,7375.4771 , 52.1681,208224.7656 , 354.0356,,,,,,,,
106,Mining,113.06,14.32,28.89,29.95,29.22,"Sat Mar 8, 2025 - 15:50:55",User,1,ppm,,,,,,Mining,<LOD,0.9257,<LOD,2.2723,<LOD,2.5821,491984.5312 , 2962.0364,<LOD,1.4572,<LOD,1.4279,<LOD,23.7692,33.1038 , 2.2307,13.0700 , 2.9930,5191.1968 , 52.3159,<LOD,0.0000,4.0829 , 1.5477,93.7254 , 18.6100,<LOD,1.0176,18.9441 , 0.6671,<LOD,6.3790,21.5213 , 1.2091,<LOD,0.8134,356.6080 , 2.6028,<LOD,0.0000,<LOD,2.6891,<LOD,0.8319,17.4802 , 1.5728,34.2328 , 0.5042,<LOD,0.0000,21.3569 , 1.1804,654.2899 , 10.5982,4.4538 , 1.3806,14.6882 , 2.7248,<LOD,6.0352,13.1692 , 0.9738,19.4510 , 1.9740,88.6676 , 1.0544,7475.9878 , 57.7457,69771.5547 , 134.5830,99561.6719 , 562.8858,874.2127 , 311.9463,<LOD,29.9561,4061.6245 , 953.1689,<LOD,70.2541,79.8186 , 16.5481,319590.5625 , 319.0390,,,,,,,,
107,Mining,106.33,,,,,"Sat Mar 8, 2025 - 15:54:48",User,1,ppm,,,,,,Mining,<LOD,1.6280,<LOD,1.9160,<LOD,3.8289,879138.1875 , 1668.4736,<LOD,2.0179,<LOD,1.7469,<LOD,101.9296,66.5149 , 3.2944,41.3154 , 5.6837,38844.0625 , 165.1343,<LOD,0.0000,<LOD,3.4039,646.3052 , 42.0144,<LOD,1.5062,11.7659 , 0.9028,36.6361 , 9.3435,<LOD,1.7332,<LOD,0.9694,13.7177 , 1.0866,<LOD,0.0000,<LOD,3.3146,<LOD,1.2385,<LOD,3.7418,243.5541 , 1.7980,<LOD,0.0000,<LOD,2.4128,3764.6887 , 21.5332,<LOD,2.9842,73.0947 , 6.0102,<LOD,10.6690,12.8098 , 0.8004,50.8555 , 4.0870,76.7610 , 1.6733,25617.6152 , 97.9324,5478.1494 , 56.4898,3916.6431 , 274.8303,163.3396 , 15.5720,<LOD,55.5769,<LOD,2073.6387,277.3391 , 78.5025,<LOD,46.6901,41526.6758 , 221.6771,,,,,,,,
108,Mining,110.47,28.70,8.98,29.26,29.92,"Sat Mar 8, 2025 - 15:57:38",User,1,ppm,,,,,,Mining,<LOD,1.3015,<LOD,1.5746,<LOD,3.3014,440091.7500 , 4594.6948,<LOD,1.7231,<LOD,1.9198,<LOD,79.3059,139.3627 , 4.3646,100.1806 , 5.3998,62545.7422 , 146.3888,<LOD,0.0000,<LOD,4.2157,996.4733 , 37.0313,<LOD,1.4079,17.7032 , 0.7706,134.9733 , 9.1271,<LOD,1.4287,<LOD,1.0889,13.1210 , 0.8707,<LOD,0.0000,<LOD,3.6479,<LOD,0.9606,32.5174 , 2.1914,314.2523 , 1.6324,<LOD,0.0000,<LOD,1.3951,6510.1675 , 31.7699,<LOD,2.3665,106.5287 , 8.8995,<LOD,9.3870,18.5202 , 0.6938,70.8759 , 3.4161,99.2039 , 1.5008,48429.2031 , 135.7158,7523.6865 , 68.9926,158534.4688 , 1129.2019,625.5872 , 223.2844,<LOD,33.9440,62765.6953 , 2201.1362,1691.2145 , 88.6063,<LOD,29.6714,209238.7969 , 353.9168,,,,,,,,
109,Mining,114.62,18.53,29.31,29.24,29.55,"Sat Mar 8, 2025 - 16:00:53",User,1,ppm,,,,,,Mining,<LOD,0.8048,4.3185 , 0.9621,<LOD,1.8919,596327.8750 , 2026.6158,<LOD,1.0951,<LOD,1.2312,<LOD,17.4242,22.5767 , 2.0208,<LOD,4.1937,4302.0210 , 38.9147,<LOD,0.0000,<LOD,3.0267,211.8502 , 16.7662,<LOD,0.7447,7.1518 , 0.4530,<LOD,4.3910,25.2599 , 0.9939,<LOD,0.6501,387.3725 , 2.1842,<LOD,0.0000,<LOD,2.2898,<LOD,0.6328,<LOD,3.2993,36.4881 , 0.4144,<LOD,0.0000,16.1861 , 0.8976,332.6301 , 10.2455,<LOD,2.6659,13.3372 , 2.4459,<LOD,5.1356,6.4650 , 0.7780,71.6967 , 2.2956,47.0998 , 0.6754,1367.1583 , 37.7368,59313.8125 , 123.5830,73914.2500 , 466.5301,544.1656 , 194.2392,<LOD,24.9313,<LOD,1716.6266,<LOD,58.4019,<LOD,20.8501,263048.2812 , 303.1953,,,,,,,,
110,Mining,117.39,19.37,29.96,29.15,29.34,"Sat Mar 8, 2025 - 16:03:46",User,1,ppm,,,,,,Mining,<LOD,1.2138,<LOD,0.9876,<LOD,2.4613,742040.5625 , 2154.6719,<LOD,1.3359,<LOD,1.7546,<LOD,80.6146,135.5363 , 3.9121,64.6490 , 3.7842,45584.5547 , 107.2724,<LOD,0.0000,<LOD,2.5976,2471.9121 , 42.4088,<LOD,0.9561,14.3594 , 0.5854,77.4902 , 6.3461,<LOD,1.0818,<LOD,0.9170,9.5643 , 0.6342,<LOD,0.0000,<LOD,3.3465,<LOD,0.7598,7.7908 , 1.9135,334.6812 , 1.3243,<LOD,0.0000,<LOD,0.9818,4660.1562 , 27.0540,<LOD,1.8257,81.8834 , 7.2321,<LOD,6.5404,18.2955 , 0.5395,58.5587 , 2.5181,84.8355 , 1.1448,35353.6797 , 108.3761,6209.2085 , 58.4399,40430.3320 , 496.1057,1848.2550 , 19.0614,<LOD,43.6515,10176.1758 , 1640.9780,1374.3937 , 92.6161,893.2371 , 29.2723,108069.9141 , 306.7021,,,,,,,,
111,Mining,115.36,38.81,29.14,29.10,0.00,"Sat Mar 8, 2025 - 16:07:49",User,1,ppm,,,,,,Mining,<LOD,1.6088,<LOD,1.2365,<LOD,2.4756,714858.1875 , 2030.6561,<LOD,1.3173,<LOD,1.6928,<LOD,72.4449,102.2801 , 3.7623,69.2150 , 3.9156,50241.4102 , 114.0975,<LOD,0.0000,<LOD,2.1712,3525.9971 , 50.2369,<LOD,1.0217,14.9477 , 0.6052,63.9834 , 6.3879,<LOD,1.1161,<LOD,0.8780,8.0263 , 0.6382,<LOD,0.0000,<LOD,3.1981,<LOD,0.7536,9.8442 , 1.8548,307.7246 , 1.3057,<LOD,0.0000,<LOD,1.2394,5348.5801 , 26.8910,<LOD,1.8817,107.8971 , 7.6591,<LOD,6.9029,16.2361 , 0.5361,66.1551 , 2.6874,92.6961 , 1.1884,40045.1172 , 117.7309,5881.0610 , 58.6162,49147.1367 , 508.9377,477.3188 , 170.3897,<LOD,43.2109,5719.5859 , 1445.0042,1143.4308 , 81.8326,263.0923 , 23.0253,122490.0703 , 301.6176,,,,,,,,
112,Mining,104.67,9.99,29.32,29.32,29.22,"Sat Mar 8, 2025 - 16:10:48",User,1,ppm,,,,,,Mining,<LOD,0.8487,<LOD,1.1309,<LOD,3.1211,402597.5312 , 6995.5635,<LOD,1.5698,<LOD,1.2670,<LOD,79.7851,68.3494 , 3.0468,<LOD,8.6013,54665.5234 , 182.6384,<LOD,0.0000,<LOD,3.3352,1018.1823 , 38.4085,<LOD,1.0423,<LOD,0.8367,2235.8503 , 25.5040,<LOD,1.2140,<LOD,0.7137,<LOD,0.7178,<LOD,0.0000,<LOD,2.4352,<LOD,1.0233,17.7634 , 1.4621,<LOD,0.3435,<LOD,0.0000,<LOD,1.0199,<LOD,22.3287,<LOD,1.6513,<LOD,3.5050,<LOD,17.6602,<LOD,0.6036,21.0369 , 2.5228,<LOD,0.6856,164.7993 , 11.4535,<LOD,24.2714,736.2537 , 247.9245,126.7058 , 11.6156,203.2052 , 16.0456,418464.5000 , 3020.8752,<LOD,42.0957,<LOD,15.9795,119680.2891 , 280.0187,,,,,,,,
113,Mining,137.59,29.45,19.44,29.12,29.89,"Sat Mar 8, 2025 - 16:15:19",User,1,ppm,,,,,,Mining,8.7447 , 5.1451,6.0114 , 1.5870,<LOD,4.6800,535108.8750 , 2889.1934,7.2879 , 1.8775,32.2554 , 7.9318,<LOD,130.4022,<LOD,9.7308,3760.7964 , 27.4509,224322.9219 , 213.1202,<LOD,0.0000,46.5844 , 5.8585,36587.3516 , 145.9947,<LOD,1.4801,<LOD,1.8397,363.6380 , 14.5548,9.0313 , 1.6131,<LOD,1.5860,<LOD,0.8259,<LOD,0.0000,<LOD,5.1392,<LOD,1.8500,20.3162 , 3.0461,9.0601 , 0.4500,<LOD,0.0000,<LOD,0.7632,271.7970 , 19.7571,<LOD,2.0905,<LOD,8.7345,<LOD,47.4267,11.2652 , 0.7017,25602.7637 , 55.8005,<LOD,0.9195,84179.9375 , 182.6106,<LOD,73.2211,<LOD,343.7585,169.6536 , 60.5781,<LOD,36.1729,<LOD,3216.6665,<LOD,77.5399,16175.3916 , 71.3644,73306.3125 , 238.5878,,,,,,,,
114,Mining,112.30,29.86,9.62,29.12,0.00,"Sat Mar 8, 2025 - 16:18:21",User,1,ppm,,,,,,Mining,<LOD,0.9224,<LOD,1.0696,<LOD,2.4307,408660.6250 , 4226.4062,<LOD,1.3821,<LOD,1.3916,<LOD,52.5393,138.1263 , 3.3626,43.2234 , 3.6906,33486.6172 , 118.8056,<LOD,0.0000,<LOD,2.2341,500.2342 , 25.6311,<LOD,0.8676,<LOD,0.7058,199.1091 , 7.6654,<LOD,0.9474,<LOD,0.7470,<LOD,0.7576,<LOD,0.0000,<LOD,2.5927,<LOD,0.7580,11.5764 , 1.5203,221.4973 , 1.1915,<LOD,0.0000,<LOD,0.9834,481.8992 , 10.5338,<LOD,2.2567,28.5059 , 3.1225,<LOD,7.4898,1.4877 , 0.3661,30.0226 , 2.1674,<LOD,1.4207,55983.3984 , 137.9833,296.7454 , 20.4774,190137.4375 , 982.2620,187.8059 , 67.0609,<LOD,29.6811,123789.9375 , 2093.1838,<LOD,57.0418,349.9681 , 17.5071,185451.7812 , 325.4034,,,,,,,,
115,Mining,147.53,38.79,9.90,29.08,29.38,"Sat Mar 8, 2025 - 16:21:43",User,1,ppm,,,,,,Mining,<LOD,0.9201,<LOD,1.0115,<LOD,2.1081,494068.5625 , 3277.1128,<LOD,1.0532,<LOD,1.3822,<LOD,43.6820,167.2166 , 2.2738,34.2892 , 3.0205,31223.3398 , 96.8742,<LOD,0.0000,<LOD,1.9814,478.8421 , 21.5070,<LOD,0.7430,<LOD,0.5960,196.7579 , 6.5403,<LOD,0.8199,<LOD,0.7337,<LOD,0.6185,<LOD,0.0000,<LOD,2.6025,<LOD,0.6372,12.1515 , 1.5259,219.4569 , 1.0041,<LOD,0.0000,<LOD,0.7730,575.5812 , 6.7590,<LOD,1.4923,35.1238 , 2.0296,<LOD,5.9753,2.2447 , 0.3206,34.2153 , 1.9011,1.6416 , 0.6156,63788.4219 , 98.1947,334.2648 , 13.8926,153279.1719 , 902.6667,165.4657 , 59.0851,<LOD,30.6201,84881.6406 , 1947.8615,<LOD,65.7533,370.8447 , 18.6800,170130.7656 , 306.6628,,,,,,,,
