"Worksheet exported from: C:\Users\MIT MRL SEF\Documents\Agilent\ICP Expert\My Results\jwalker\20260317_ICP.esws"
"Instrument name","MY15470004"
"Software version","7.6.1.12212"
"Firmware version","5590"

""
"Label","Rack:Tube","Type","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration % RSD","Intensity SD","Intensity % RSD","%RSE","Weight","Volume","Dilution","Internal Standard","Calibration fit","Correlation coefficient","Background correction","%RSE limit","Calibration Coefficient [1]","Calibration Coefficient [2]","Calibration Coefficient [3]","LIMS ID","Customer","Customer Ref.","Sample Date Time","Sample Site","Description","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Cu 327.395","Cu","","1.06","1.06","ppm","405.31","0.03","3.07","6.57","1.62","592.10","1","1","1","-","Linear","0.99989","Fitted","2000.00000","191.282274162999","201.359354426859","-","","","","2/9/2026","","","3","1.10","1.05","1.04","412.67","403.24","400.03","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Fe 234.350","Fe","u","-1.75","-1.75","ppm","7.75","0.07","4.18","2.47","31.84","1418.85","1","1","1","-","Linear","0.99940","Fitted","2000.00000","66.7125124573333","33.6243983043312","-","","","","2/9/2026","","","3","-1.82","-1.77","-1.67","5.62","7.18","10.45","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","La 333.749","La","","0.25","0.25","ppm","74.51","0.03","10.80","5.33","7.15","1063.58","1","1","1","-","Linear","0.99989","Fitted","2000.00000","25.1503287134273","195.095531030046","-","","","","2/9/2026","","","3","0.27","0.26","0.22","78.54","76.53","68.47","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","La 379.082","La","u","-0.15","-0.15","ppm","6.94","0.01","9.41","3.01","43.30","844.06","1","1","1","-","Linear","0.99992","Fitted","2000.00000","38.9128854208753","210.468932124098","-","","","","2/9/2026","","","3","-0.17","-0.14","-0.14","3.48","8.84","8.51","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","La 379.477","La","u","-0.06","-0.06","ppm","20.72","0.02","34.21","4.68","22.61","867.38","1","1","1","-","Linear","0.99992","Fitted","2000.00000","34.4162110222676","245.59263418217","-","","","","2/9/2026","","","3","-0.07","-0.03","-0.06","17.21","26.04","18.91","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","La 398.852","La","u","-0.03","-0.03","ppm","34.07","0.05","142.55","19.10","56.06","902.50","1","1","1","-","Linear","0.99991","Fitted","2000.00000","47.4621203694767","415.327814753767","-","","","","2/9/2026","","","3","0.01","-0.02","-0.08","49.94","39.38","12.88","","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","La 408.671","La","u","-0.13","-0.13","ppm","25.54","0.01","8.39","6.42","25.11","658.86","1","1","1","-","Linear","0.99994","Fitted","2000.00000","102.036681366988","573.588305950178","-","","","","2/9/2026","","","3","-0.14","-0.12","-0.14","20.74","32.83","23.06","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Mg 279.800","Mg","","10.41","10.41","ppm","182.83","0.32","3.04","5.30","2.90","16.32","1","1","1","-","Linear","0.99998","Fitted","2000.00000","8.42655037886288","16.7476565577313","-","","","","2/9/2026","","","3","10.69","10.48","10.07","187.48","183.96","177.06","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Mg 285.213","Mg","","Uncal","Uncal","ppm","2118.88","-","-","67.42","3.18","3313.69","1","1","1","-","Linear","0.99864","Fitted","2000.00000","212.485123528205","191.009475881856","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","2186.34","2118.79","2051.51","Uncal","Uncal","Uncal"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Mn 257.610","Mn","","0.80","0.80","ppm","429.20","0.03","3.89","16.11","3.75","1359.50","1","1","1","-","Linear","0.99980","Fitted","2000.00000","14.6361562958434","517.730924154836","-","","","","2/9/2026","","","3","0.82","0.82","0.76","439.17","437.83","410.61","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Mn 259.372","Mn","","0.80","0.80","ppm","423.70","0.02","2.46","9.65","2.28","1241.86","1","1","1","-","Linear","0.99984","Fitted","2000.00000","32.2412321515306","491.012883275296","-","","","","2/9/2026","","","3","0.81","0.81","0.77","430.28","428.19","412.62","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Mn 260.568","Mn","","0.50","0.50","ppm","84.92","0.05","9.63","4.38","5.16","950.75","1","1","1","-","Linear","0.99987","Fitted","2000.00000","39.4536996286538","91.3807374125123","-","","","","2/9/2026","","","3","0.55","0.50","0.45","89.31","84.92","80.55","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Mn 293.931","Mn","","0.72","0.72","ppm","163.95","0.04","5.26","7.25","4.42","1103.53","1","1","1","-","Linear","0.99987","Fitted","2000.00000","26.1759018489406","190.638776736735","-","","","","2/9/2026","","","3","0.71","0.76","0.69","162.32","171.88","157.66","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Mn 294.921","Mn","","0.15","0.15","ppm","209.96","0.02","16.40","4.42","2.11","1019.24","1","1","1","-","Linear","0.99985","Fitted","2000.00000","182.989578766343","184.986981946955","-","","","","2/9/2026","","","3","0.16","0.16","0.12","212.34","212.67","204.85","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Na 589.592","Na","","91.29","91.29","ppm","104214.42","1.51","1.66","1608.64","1.54","48.09","1","1","1","-","Linear","0.99987","Fitted","2000.00000","7167.33308626705","1063.04407332545","-","","","","2/9/2026","","","3","92.75","91.39","89.73","105766.37","104322.38","102554.53","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Nd 386.341","Nd","u","-0.62","-0.62","ppm","21.52","0.16","26.26","8.19","38.05","941.34","1","1","1","-","Linear","0.99990","Fitted","2000.00000","52.7092508755967","50.5399126182653","-","","","","2/9/2026","","","3","-0.61","-0.78","-0.46","21.70","13.25","29.62","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Nd 401.224","Nd","","Uncal","Uncal","ppm","64.41","-","-","6.04","9.38","2310.50","1","1","1","-","Linear","0.99925","Fitted","2000.00000","142.019272647277","74.3029243550927","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","69.26","66.33","57.64","Uncal","Uncal","Uncal"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Nd 406.108","Nd","u","-0.14","-0.14","ppm","17.12","0.09","62.89","7.12","41.61","1002.14","1","1","1","-","Linear","0.99990","Fitted","2000.00000","28.4407376245412","79.36141261221","-","","","","2/9/2026","","","3","-0.20","-0.04","-0.19","12.44","25.31","13.59","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Nd 410.945","Nd","","1.49","1.49","ppm","114.17","0.16","10.52","8.36","7.32","928.82","1","1","1","-","Linear","0.99988","Fitted","2000.00000","34.753115013048","53.2970770459808","-","","","","2/9/2026","","","3","1.45","1.36","1.66","111.91","107.18","123.42","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Ni 231.604","Ni","u","-0.12","-0.12","ppm","9.36","0.14","121.82","2.26","24.15","1205.80","1","1","1","-","Linear","0.99977","Fitted","2000.00000","11.2162591253129","16.0873016049951","-","","","","2/9/2026","","","3","-0.27","0.00","-0.08","6.85","11.24","10.00","u","","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Pb 220.353","Pb","","9.63","9.63","ppm","54.79","0.24","2.52","1.29","2.35","28.50","1","1","1","-","Linear","0.99996","Fitted","2000.00000","3.82226528277242","5.29314458038638","-","","","","2/9/2026","","","3","9.36","9.82","9.71","53.34","55.80","55.23","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Sc 335.372","Sc","u","-0.07","-0.07","ppm","17.36","0.00","3.48","1.93","11.15","950.86","1","1","1","-","Linear","0.99991","Fitted","2000.00000","72.8853318742149","750.712712568496","-","","","","2/9/2026","","","3","-0.08","-0.07","-0.08","16.25","19.59","16.23","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Sc 357.634","Sc","u","-0.02","-0.02","ppm","20.22","0.01","57.78","10.24","50.63","832.27","1","1","1","-","Linear","0.99993","Fitted","2000.00000","37.9449936757591","841.202616627046","-","","","","2/9/2026","","","3","-0.01","-0.01","-0.04","25.53","26.72","8.42","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Sc 363.074","Sc","","0.32","0.32","ppm","233.84","0.01","4.02","6.45","2.76","683.47","1","1","1","-","Linear","0.99993","Fitted","2000.00000","73.4687946605647","494.396616437467","-","","","","2/9/2026","","","3","0.34","0.33","0.31","239.49","235.22","226.81","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Sc 424.682","Sc","u","-0.01","-0.01","ppm","18.84","0.01","39.14","7.00","37.18","616.59","1","1","1","-","Linear","0.99995","Fitted","2000.00000","36.7379179139163","1219.1733116614","-","","","","2/9/2026","","","3","-0.01","-0.02","-0.02","26.76","16.32","13.45","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Si 251.611","Si","","Uncal","Uncal","ppm","34.59","-","-","2.24","6.47","3074.04","1","1","1","-","Linear","0.99908","Fitted","2000.00000","8.53892943138174","12.0036950981158","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","32.08","35.32","36.38","Uncal","Uncal","Uncal"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Si 288.158","Si","","2.09","2.09","ppm","129.37","0.10","4.92","5.45","4.21","13.07","1","1","1","-","Linear","0.99996","Fitted","2000.00000","18.6462695414023","53.0808516581099","-","","","","2/9/2026","","","3","2.13","2.16","1.97","131.85","133.14","123.12","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Sr 215.283","Sr","u","-1.46","-1.46","ppm","4.62","0.14","9.93","0.78","16.84","1230.73","1","1","1","-","Linear","0.99963","Fitted","2000.00000","12.4608269664284","5.37401576874638","-","","","","2/9/2026","","","3","-1.34","-1.42","-1.62","5.28","4.82","3.76","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Sr 407.771","Sr","","0.44","0.44","ppm","11104.34","0.01","3.16","345.59","3.11","956.27","1","1","1","-","Linear","0.99983","Fitted","2000.00000","161.537505039335","24756.1503726789","-","","","","2/9/2026","","","3","0.46","0.44","0.43","11456.05","11091.78","10765.21","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Sr 421.552","Sr","","0.46","0.46","ppm","4343.16","0.02","3.38","139.93","3.22","997.99","1","1","1","-","Linear","0.99989","Fitted","2000.00000","206.114097506552","9072.95640204571","-","","","","2/9/2026","","","3","0.47","0.46","0.44","4468.85","4368.26","4192.38","","",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Th 283.730","Th","u","-1.70","-1.70","ppm","6.74","0.06","3.26","1.43","21.27","284.51","1","1","1","-","Linear","0.99982","Fitted","2000.00000","50.7411909519267","25.9232184727993","-","","","","2/9/2026","","","3","-1.76","-1.66","-1.67","5.10","7.77","7.34","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","V 268.796","V","u","-0.04","-0.04","ppm","5.25","0.11","248.57","4.95","94.39","1204.75","1","1","1","-","Linear","0.99986","Fitted","2000.00000","7.2391404921811","44.4372370707515","-","","","","2/9/2026","","","3","-0.11","-0.11","0.08","2.42","2.35","10.97","u","u",""
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","V 292.401","V","u","-0.84","-0.84","ppm","15.27","0.02","2.17","1.96","12.86","965.13","1","1","1","-","Linear","0.99984","Fitted","2000.00000","105.730131230042","107.500691280299","-","","","","2/9/2026","","","3","-0.83","-0.86","-0.83","16.49","13.00","16.30","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","V 309.310","V","u","-0.06","-0.06","ppm","19.51","0.05","78.20","6.97","35.70","751.71","1","1","1","-","Linear","0.99992","Fitted","2000.00000","28.4158527996359","138.72174459941","-","","","","2/9/2026","","","3","-0.02","-0.06","-0.12","25.83","20.66","12.04","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","V 311.070","V","u","-0.11","-0.11","ppm","2.19","0.02","17.07","3.46","> 100.00","733.92","1","1","1","-","Linear","0.99993","Fitted","2000.00000","22.4319634477462","187.586373961748","-","","","","2/9/2026","","","3","-0.09","-0.12","-0.12","6.12","0.82","-0.37","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","V 311.837","V","u","-0.03","-0.03","ppm","13.04","0.03","100.05","6.32","48.46","946.19","1","1","1","-","Linear","0.99991","Fitted","2000.00000","19.3592816748546","180.646721883038","-","","","","2/9/2026","","","3","-0.02","-0.01","-0.08","16.09","17.26","5.77","u","u","u"
"HPHT_097_Day1_20x","S1:18","Sample","3/17/2026 3:18:59 PM","Zn 206.200","Zn","u","-0.04","-0.04","ppm","10.37","0.23","534.33","2.31","22.31","33.50","1","1","1","-","Linear","0.99996","Fitted","2000.00000","10.8054494744866","9.94586094295093","-","","","","2/9/2026","","","3","-0.28","0.18","-0.03","7.99","12.61","10.51","u","","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Al 394.401","Al","u","-0.93","-0.93","ppm","171.42","0.36","38.83","13.83","8.07","109.30","1","1","1","-","Linear","0.99992","Fitted","2000.00000","207.034341904362","38.2790550831863","-","","","","2/9/2026","","","3","-1.31","-0.88","-0.60","156.76","173.26","184.24","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Al 396.152","Al","u","-1.57","-1.57","ppm","15.53","0.06","3.51","7.48","48.18","54.68","1","1","1","-","Linear","0.99986","Fitted","2000.00000","228.472739554392","135.519425108664","-","","","","2/9/2026","","","3","-1.51","-1.58","-1.62","23.65","14.04","8.91","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Ba 230.424","Ba","","Uncal","Uncal","ppm","68447.59","-","-","1044.00","1.53","2182.97","1","1","1","-","Linear","0.99952","Fitted","2000.00000","20.8850603308681","70.2137425009842","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","68512.39","69457.68","67372.70","Uncal","Uncal","Uncal"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Ba 233.527","Ba","","Uncal","Uncal","ppm","95898.08","-","-","2110.41","2.20","2030.92","1","1","1","-","Linear","0.99955","Fitted","2000.00000","33.7214298459407","101.963242367889","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","95796.32","98057.52","93840.39","Uncal","Uncal","Uncal"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Ca 422.673","Ca","o","203.21","203.21","ppm","53092.78","3.99","1.96","1036.69","1.95","325.70","1","1","1","-","Linear","0.99906","Fitted","2000.00000","316.677593934274","259.715516659042","-","","","","2/9/2026","","","3","204.99","205.99","198.63","53556.96","53816.27","51905.12","o","o","o"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Co 228.615","Co","u","0.11","0.11","ppm","9.88","0.13","109.62","3.28","33.15","723.02","1","1","1","-","Linear","0.99994","Fitted","2000.00000","6.89321332884194","26.0203216129372","-","","","","2/9/2026","","","3","-0.01","0.10","0.25","6.74","9.62","13.28","u","",""
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Co 230.786","Co","u","0.10","0.10","ppm","8.56","0.14","144.07","4.06","47.42","5.15","1","1","1","-","Linear","0.99998","Fitted","2000.00000","5.73946835547142","28.165304393011","-","","","","2/9/2026","","","3","0.26","0.06","-0.02","13.07","7.38","5.21","","","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Cr 267.716","Cr","u","-0.26","-0.26","ppm","6.44","0.01","2.73","0.66","10.23","1282.75","1","1","1","-","Linear","0.99981","Fitted","2000.00000","30.5666384344329","91.7275430079795","-","","","","2/9/2026","","","3","-0.26","-0.27","-0.26","6.65","5.70","6.97","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Cr 283.563","Cr","u","-0.04","-0.04","ppm","4.87","0.02","57.67","4.29","88.08","1255.80","1","1","1","-","Linear","0.99985","Fitted","2000.00000","12.3122376959177","211.693417703192","-","","","","2/9/2026","","","3","-0.01","-0.05","-0.04","9.64","1.34","3.63","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Cu 224.700","Cu","","Uncal","Uncal","ppm","4.89","-","-","0.62","12.71","1591.40","1","1","1","-","Linear","0.99971","Fitted","2000.00000","8.12357733186202","10.6765575550816","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","5.03","4.21","5.43","Uncal","Uncal","Uncal"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Cu 324.754","Cu","u","-0.06","-0.06","ppm","0.82","0.01","15.81","1.64","> 100.00","734.73","1","1","1","-","Linear","0.99995","Fitted","2000.00000","11.2006731183329","178.074150124956","-","","","","2/9/2026","","","3","-0.07","-0.06","-0.05","-0.68","0.59","2.57","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Cu 327.395","Cu","u","-0.88","-0.88","ppm","14.35","0.01","1.55","2.73","19.05","592.10","1","1","1","-","Linear","0.99989","Fitted","2000.00000","191.282274162999","201.359354426859","-","","","","2/9/2026","","","3","-0.89","-0.87","-0.87","11.19","15.98","15.87","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Fe 234.350","Fe","u","-1.24","-1.24","ppm","25.18","0.06","4.53","1.88","7.47","1418.85","1","1","1","-","Linear","0.99940","Fitted","2000.00000","66.7125124573333","33.6243983043312","-","","","","2/9/2026","","","3","-1.30","-1.19","-1.21","23.03","26.55","25.96","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","La 333.749","La","u","-0.04","-0.04","ppm","17.24","0.02","39.19","3.10","17.99","1063.58","1","1","1","-","Linear","0.99989","Fitted","2000.00000","25.1503287134273","195.095531030046","-","","","","2/9/2026","","","3","-0.04","-0.06","-0.02","17.03","14.25","20.44","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","La 379.082","La","u","-0.15","-0.15","ppm","7.03","0.01","9.87","3.15","44.82","844.06","1","1","1","-","Linear","0.99992","Fitted","2000.00000","38.9128854208753","210.468932124098","-","","","","2/9/2026","","","3","-0.16","-0.13","-0.16","5.92","10.58","4.58","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","La 379.477","La","","0.47","0.47","ppm","149.94","0.02","4.99","5.76","3.84","867.38","1","1","1","-","Linear","0.99992","Fitted","2000.00000","34.4162110222676","245.59263418217","-","","","","2/9/2026","","","3","0.45","0.47","0.49","144.28","149.74","155.80","","",""
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","La 398.852","La","u","-0.07","-0.07","ppm","20.25","0.02","26.41","7.19","35.50","902.50","1","1","1","-","Linear","0.99991","Fitted","2000.00000","47.4621203694767","415.327814753767","-","","","","2/9/2026","","","3","-0.07","-0.08","-0.05","19.23","13.62","27.89","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","La 408.671","La","u","-0.14","-0.14","ppm","19.52","0.01","7.21","5.95","30.49","658.86","1","1","1","-","Linear","0.99994","Fitted","2000.00000","102.036681366988","573.588305950178","-","","","","2/9/2026","","","3","-0.14","-0.16","-0.14","23.63","12.70","22.24","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Mg 279.800","Mg","","5.47","5.47","ppm","100.03","0.19","3.48","3.18","3.18","16.32","1","1","1","-","Linear","0.99998","Fitted","2000.00000","8.42655037886288","16.7476565577313","-","","","","2/9/2026","","","3","5.51","5.64","5.26","100.70","102.83","96.57","","",""
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Mg 285.213","Mg","","Uncal","Uncal","ppm","1157.60","-","-","8.59","0.74","3313.69","1","1","1","-","Linear","0.99864","Fitted","2000.00000","212.485123528205","191.009475881856","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","1163.24","1161.85","1147.71","Uncal","Uncal","Uncal"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Mn 257.610","Mn","","0.01","0.01","ppm","19.74","0.00","17.14","0.88","4.43","1359.50","1","1","1","-","Linear","0.99980","Fitted","2000.00000","14.6361562958434","517.730924154836","-","","","","2/9/2026","","","3","0.01","0.01","0.01","19.10","20.74","19.39","","",""
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Mn 259.372","Mn","u","-0.02","-0.02","ppm","20.40","0.00","6.35","0.75","3.68","1241.86","1","1","1","-","Linear","0.99984","Fitted","2000.00000","32.2412321515306","491.012883275296","-","","","","2/9/2026","","","3","-0.03","-0.02","-0.02","19.54","20.91","20.76","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Mn 260.568","Mn","u","-0.36","-0.36","ppm","6.58","0.02","6.17","2.03","30.82","950.75","1","1","1","-","Linear","0.99987","Fitted","2000.00000","39.4536996286538","91.3807374125123","-","","","","2/9/2026","","","3","-0.35","-0.38","-0.34","7.30","4.29","8.14","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Mn 293.931","Mn","u","-0.08","-0.08","ppm","10.63","0.01","7.80","1.21","11.42","1103.53","1","1","1","-","Linear","0.99987","Fitted","2000.00000","26.1759018489406","190.638776736735","-","","","","2/9/2026","","","3","-0.08","-0.08","-0.09","10.71","11.80","9.38","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Mn 294.921","Mn","u","-0.93","-0.93","ppm","11.81","0.02","1.70","2.91","24.60","1019.24","1","1","1","-","Linear","0.99985","Fitted","2000.00000","182.989578766343","184.986981946955","-","","","","2/9/2026","","","3","-0.93","-0.94","-0.91","10.29","9.99","15.16","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Na 589.592","Na","o","215.61","215.61","ppm","236368.28","2.46","1.14","2613.57","1.11","48.09","1","1","1","-","Linear","0.99987","Fitted","2000.00000","7167.33308626705","1063.04407332545","-","","","","2/9/2026","","","3","215.58","218.08","213.16","236339.41","238996.17","233769.27","o","o","o"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Nd 386.341","Nd","u","-0.86","-0.86","ppm","9.47","0.02","1.92","0.83","8.74","941.34","1","1","1","-","Linear","0.99990","Fitted","2000.00000","52.7092508755967","50.5399126182653","-","","","","2/9/2026","","","3","-0.87","-0.84","-0.85","8.57","10.20","9.66","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Nd 401.224","Nd","","Uncal","Uncal","ppm","63.27","-","-","5.78","9.13","2310.50","1","1","1","-","Linear","0.99925","Fitted","2000.00000","142.019272647277","74.3029243550927","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","69.83","58.92","61.07","Uncal","Uncal","Uncal"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Nd 406.108","Nd","u","-0.14","-0.14","ppm","17.70","0.07","52.52","5.64","31.89","1002.14","1","1","1","-","Linear","0.99990","Fitted","2000.00000","28.4407376245412","79.36141261221","-","","","","2/9/2026","","","3","-0.13","-0.07","-0.21","18.38","22.97","11.74","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Nd 410.945","Nd","u","-0.08","-0.08","ppm","30.46","0.09","109.16","4.69","15.40","928.82","1","1","1","-","Linear","0.99988","Fitted","2000.00000","34.753115013048","53.2970770459808","-","","","","2/9/2026","","","3","0.02","-0.12","-0.14","35.81","28.46","27.09","","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Ni 231.604","Ni","u","-0.46","-0.46","ppm","3.88","0.09","18.90","1.39","35.70","1205.80","1","1","1","-","Linear","0.99977","Fitted","2000.00000","11.2162591253129","16.0873016049951","-","","","","2/9/2026","","","3","-0.55","-0.44","-0.38","2.38","4.16","5.11","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Pb 220.353","Pb","u","0.08","0.08","ppm","4.22","0.51","674.88","2.71","64.07","28.50","1","1","1","-","Linear","0.99996","Fitted","2000.00000","3.82226528277242","5.29314458038638","-","","","","2/9/2026","","","3","-0.26","-0.18","0.66","2.45","2.88","7.34","u","u",""
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Sc 335.372","Sc","u","-0.08","-0.08","ppm","14.27","0.00","3.18","1.86","13.06","950.86","1","1","1","-","Linear","0.99991","Fitted","2000.00000","72.8853318742149","750.712712568496","-","","","","2/9/2026","","","3","-0.08","-0.08","-0.08","14.90","12.17","15.73","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Sc 357.634","Sc","u","-0.02","-0.02","ppm","20.53","0.00","14.57","2.54","12.36","832.27","1","1","1","-","Linear","0.99993","Fitted","2000.00000","37.9449936757591","841.202616627046","-","","","","2/9/2026","","","3","-0.02","-0.02","-0.02","20.32","23.17","18.11","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Sc 363.074","Sc","u","-0.08","-0.08","ppm","36.39","0.01","11.55","4.28","11.77","683.47","1","1","1","-","Linear","0.99993","Fitted","2000.00000","73.4687946605647","494.396616437467","-","","","","2/9/2026","","","3","-0.07","-0.07","-0.08","40.26","37.11","31.79","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Sc 424.682","Sc","u","-0.02","-0.02","ppm","15.28","0.00","14.96","3.21","21.01","616.59","1","1","1","-","Linear","0.99995","Fitted","2000.00000","36.7379179139163","1219.1733116614","-","","","","2/9/2026","","","3","-0.02","-0.01","-0.02","13.66","18.98","13.21","u","u","u"
"HPHT_070_Day36_20x","S1:19","Sample","3/17/2026 3:20:52 PM","Si 251.611","Si","","Uncal","Uncal","ppm","5.05","-","-","1.96","38.80","3074.04","1","1","1","-","Linear","0.99908","Fitted","2000.00000","8.53892943138174","12.0036950981158","-","","","","2/9/2026","","","3","Uncal","Uncal","Uncal","3.31","4.68","7.17","Uncal","Uncal","Uncal"
